group,names,scores,logfoldchanges,pvals,pvals_adj
0,RNA5SP479,63.60993,-2.1736743,0.0,0.0
0,RP11-96O20.4,63.57623,-1.0203723,0.0,0.0
0,RP11-378E13.4,63.57582,-1.6131148,0.0,0.0
0,CELSR1,63.575764,-1.9269007,0.0,0.0
0,STAR,63.57543,-1.8436393,0.0,0.0
0,AC087380.14,63.574757,-1.5585093,0.0,0.0
0,AC009095.4,63.574028,-1.6982005,0.0,0.0
0,PACSIN1,63.572132,-1.5851145,0.0,0.0
0,RN7SL9P,63.571,-0.2218448,0.0,0.0
0,CA5A,63.569927,-1.4490309,0.0,0.0
0,RP11-277I20.2,63.567696,-1.3105508,0.0,0.0
0,AC019097.7,63.56761,-1.2447906,0.0,0.0
0,KCTD19,63.567566,-2.2524092,0.0,0.0
0,MIR148B,63.565945,-1.2143703,0.0,0.0
0,SGSM1,63.564457,-1.1934669,0.0,0.0
0,ABLIM3,63.563675,-1.5952123,0.0,0.0
0,CYCSP1,63.56359,-1.5896053,0.0,0.0
0,RP11-863K10.2,63.561794,-1.1783868,0.0,0.0
0,RP11-302K17.3,63.560448,-1.481816,0.0,0.0
0,CTD-2545H1.2,63.559616,-0.82378024,0.0,0.0
0,SOX9-AS1,63.559322,-1.9389975,0.0,0.0
0,CALN1,63.555,-0.000314652,0.0,0.0
0,TTC21B-AS1,63.55387,-1.1002276,0.0,0.0
0,RP11-107I14.4,63.55303,-1.315889,0.0,0.0
0,AF131216.6,63.55276,-1.9689692,0.0,0.0
0,RP1-85F18.5,63.552677,-0.9164528,0.0,0.0
0,CFHR1,63.551407,-2.8623264,0.0,0.0
0,RP11-365H22.2,63.55125,-0.14633912,0.0,0.0
0,NRP2,63.551147,-1.4230503,0.0,0.0
0,CTC-484M2.1,63.5506,-1.028593,0.0,0.0
0,FMO3,63.54778,-0.5504282,0.0,0.0
0,PAX3,63.546906,-1.0341499,0.0,0.0
0,HCG4P11,63.540257,-1.2507933,0.0,0.0
0,CTD-2291D10.1,63.539738,-1.3222002,0.0,0.0
0,LINC00514,63.538517,-1.7858222,0.0,0.0
0,RP5-1092A3.5,63.53835,-0.60874057,0.0,0.0
0,LINC01031,63.537132,-1.380195,0.0,0.0
0,SOX13,63.53633,-1.5656625,0.0,0.0
0,RP5-1112F19.2,63.535717,-1.2749904,0.0,0.0
0,PPP4R4,63.53193,-1.1037093,0.0,0.0
0,CTD-2095E4.1,63.530495,-1.0620221,0.0,0.0
0,SPDYE1,63.52764,-0.75860673,0.0,0.0
0,FBLL1,63.526768,-1.7312603,0.0,0.0
0,CTD-2013N17.4,63.526127,-0.46234843,0.0,0.0
0,C1orf227,63.52557,-0.41969454,0.0,0.0
0,RP11-651P23.5,63.524727,-0.8468375,0.0,0.0
0,RP11-573G6.8,63.522068,-0.1814144,0.0,0.0
0,RP11-481A12.2,63.519394,-1.7742318,0.0,0.0
0,GS1-600G8.5,63.51647,-1.5910492,0.0,0.0
0,TREML5P,63.51429,-1.2438735,0.0,0.0
0,TOMM20L,63.51267,-0.5501747,0.0,0.0
0,AC104695.3,63.51103,-0.6113197,0.0,0.0
0,Y_RNA_763,63.50809,-1.2312614,0.0,0.0
0,STON2,63.507977,0.17467168,0.0,0.0
0,RPL7P17,63.507458,-1.5515648,0.0,0.0
0,GNG3,63.506874,-0.70487314,0.0,0.0
0,SYN1,63.506733,-0.7427001,0.0,0.0
0,CASP12,63.50542,-1.2895118,0.0,0.0
0,RP11-494M8.4,63.504215,-0.17580113,0.0,0.0
0,BMP6,63.502777,-1.2134745,0.0,0.0
0,RP4-669P10.16,63.49977,-1.1655397,0.0,0.0
0,CES3,63.497204,-1.2490584,0.0,0.0
0,RP11-324E6.9,63.49706,-1.2233468,0.0,0.0
0,MRPS17,63.49239,-0.8583107,0.0,0.0
0,TMOD1,63.49116,-0.9694527,0.0,0.0
0,RP11-111G23.1,63.491096,-1.2631134,0.0,0.0
0,RN7SL245P,63.48918,-1.0122393,0.0,0.0
0,ZNF416,63.484215,-0.14213735,0.0,0.0
0,RP11-34P13.9,63.48414,-1.320838,0.0,0.0
0,NRG2,63.483646,-1.7241824,0.0,0.0
0,LA16c-316G12.2,63.48354,-0.20074031,0.0,0.0
0,OSTF1P1,63.483517,-0.6250622,0.0,0.0
0,RP11-159F24.2,63.483337,-1.1059309,0.0,0.0
0,DCST1,63.48319,-0.76090425,0.0,0.0
0,RP11-419I17.1,63.479706,-0.97641057,0.0,0.0
0,RP11-644N4.1,63.477913,-0.5202771,0.0,0.0
0,FAM136BP,63.475117,-1.671052,0.0,0.0
0,RP11-20B24.4,63.47422,-0.9428396,0.0,0.0
0,BACH2,63.47333,-0.043048833,0.0,0.0
0,SUMO1P1,63.47279,-1.4326657,0.0,0.0
0,RPEP5,63.469975,-1.204458,0.0,0.0
0,PA2G4P4,63.467545,-0.9938553,0.0,0.0
0,CTD-3105H18.8,63.463974,-1.1471866,0.0,0.0
0,CTD-2306M5.1,63.463158,-0.4937158,0.0,0.0
0,SRPK3,63.460285,-1.4894768,0.0,0.0
0,PRSS53,63.45742,-0.45369044,0.0,0.0
0,RN7SL540P,63.455597,-0.6987379,0.0,0.0
0,ARHGAP42P5,63.454727,-1.3444862,0.0,0.0
0,RBM8B,63.452065,0.112091,0.0,0.0
0,KSR2,63.444286,-1.7949414,0.0,0.0
0,RPL7P19,63.44367,-2.5396957,0.0,0.0
0,RP11-344N17.8,63.44155,-1.6639775,0.0,0.0
0,RP11-17G12.3,63.43761,-0.83191556,0.0,0.0
0,GABRB1,63.43437,-1.8271877,0.0,0.0
0,RP1-228H13.5,63.431026,-0.19938445,0.0,0.0
0,AL353898.1,63.430157,-1.589255,0.0,0.0
0,CIR1P1,63.42735,-0.14503509,0.0,0.0
0,HEMGN,63.424988,-0.73167175,0.0,0.0
0,XK,63.423145,-0.6608659,0.0,0.0
0,AC138655.6,63.423145,-0.6608659,0.0,0.0
1,B2M,62.524765,,0.0,0.0
1,TXNIP,51.930542,,0.0,0.0
1,IFITM2,48.41515,,0.0,0.0
1,SIGLEC10,48.254772,,0.0,0.0
1,LST1,43.27609,,0.0,0.0
1,SERPINA1,43.177685,,0.0,0.0
1,TMSB4X,40.613773,,0.0,0.0
1,ITM2B,40.36521,,0.0,0.0
1,PTPRC,40.322216,,0.0,0.0
1,HLA-B,40.033882,,0.0,0.0
1,CTSS,37.504276,,7.844568171958411e-308,3.237173121418238e-304
1,CXCR2,37.34025,,3.650433703600264e-305,1.405976709053987e-301
1,AIF1,36.617783,,1.4908703265507576e-293,5.066591257400995e-290
1,SLPI,35.429855,,5.926813588927846e-275,1.8021568498585706e-271
1,FTH1,33.930786,,2.3427516133233303e-252,6.767389447826438e-249
1,FAM129A,33.873302,,1.647570088385619e-251,4.532622224585827e-248
1,ATP5E,33.8098,,1.4157496065374324e-250,3.71782281902214e-247
1,LRRFIP1,31.533989,,2.9726462990487687e-218,7.155778943122688e-215
1,CTSC,31.039808,,1.5659472939591842e-211,3.4795951159193827e-208
1,S100A11,30.756039,,1.0153449618277867e-207,2.1725749807287675e-204
1,JUNB,30.240923,,6.867719782880673e-201,1.239902421926141e-197
1,HLA-A,29.72431,,3.7259583994644395e-194,5.817832286817813e-191
1,MT-RNR1,29.618532,,8.626707554875688e-193,1.3115546725469293e-189
1,PNRC1,29.572489,,3.3754060436800875e-192,5.0001880349110176e-189
1,FPR1,29.517942,,1.694475319928131e-191,2.447373066455198e-188
1,PPT1,28.00807,,1.2957619200293547e-172,1.5595844459553315e-169
1,ACTB,27.598516,,1.1592873499337589e-167,1.2402871864393159e-164
1,HLA-C,27.59187,,1.3930312599721422e-167,1.4632653633158287e-164
1,MNDA,27.557629,,3.585426269441349e-167,3.6989434261506256e-164
1,PI3,27.16363,,1.7478615636469726e-162,1.7115119680775686e-159
1,FCGR2A,26.99248,,1.811058378560826e-160,1.74383792840991e-157
1,FYB,26.904665,,1.9368255312324222e-159,1.8047777647724308e-156
1,FTL,26.767965,,7.629779644923684e-158,6.996750149621842e-155
1,CCR1,26.490597,,1.2438657059447587e-154,1.1228414598366648e-151
1,ZFP36L1,26.322851,,1.0502448073291408e-152,8.922910772621537e-150
1,ZFP36,26.21582,,1.754414553392233e-151,1.4479684570447067e-148
1,TAGLN2,26.095642,,4.0855487226362217e-150,3.32442825849102e-147
1,MT-TC,25.738396,,4.347685032278289e-146,3.394308207700184e-143
1,SMAP2,25.683266,,1.7978938712266752e-145,1.3849296349650495e-142
1,EVI2B,25.395838,,2.803552368558551e-142,1.9996250739349776e-139
1,FCGR3B,25.338161,,1.2136631008186165e-141,8.447826304047462e-139
1,TMEM154,25.109838,,3.883382556637929e-139,2.6708888148171793e-136
1,LAPTM5,25.071745,,1.0114983155844158e-138,6.874975551324524e-136
1,BASP1,24.995876,,6.77837900575132e-138,4.501233221830701e-135
1,SGK1,24.761753,,2.3164828823866466e-135,1.4870018396013746e-132
1,PTMA,24.548357,,4.50325681599833e-133,2.797490925060984e-130
1,EMR2,24.44712,,5.400021106640085e-132,3.28395178309387e-129
1,OAZ1,24.377258,,2.9806952009223164e-131,1.7937885816967186e-128
1,FGL2,24.286242,,2.7399219698783614e-130,1.6152399180181896e-127
1,LYZ,24.129663,,1.2209652782831298e-128,6.984042279430817e-126
1,S100A4,23.708334,,2.9582677840084138e-124,1.5824815248659082e-121
1,COTL1,22.700542,,4.425053425848451e-114,2.1304050964295212e-111
1,LYN,22.575006,,7.629789066751497e-113,3.554804868979308e-110
1,IER2,22.395752,,4.329552269395026e-111,1.985168438569515e-108
1,CD44,22.237818,,1.4798185607433523e-109,6.627407574405092e-107
1,CEBPB,22.179445,,5.424285817450868e-109,2.410594342550685e-106
1,SOD2,22.091042,,3.8541101683820625e-108,1.699721425633106e-105
1,GTSE1,22.062868,,7.187884891509036e-108,3.1222982995274555e-105
1,HNRNPC,21.93629,,1.1706850578193654e-106,5.0099250255850516e-104
1,HIST1H3B,21.929996,,1.3443813350603687e-106,5.66926590295202e-104
1,LCP1,21.864285,,5.685053419001323e-106,2.3800187766374166e-103
1,CDK1,21.697973,,2.1440967394147452e-104,8.91157560620202e-102
1,S100A6,21.662777,,4.606076154068966e-104,1.900763126064474e-101
1,DSC2,21.62052,,1.151724964141536e-103,4.7190500959821954e-101
1,TPX2,21.580647,,2.73025930024081e-103,1.1108117644564248e-100
1,EFHD2,21.567108,,3.658700282948535e-103,1.4781404996278724e-100
1,CCNA2,21.525314,,9.020494450500233e-103,3.6190349020052077e-100
1,ACTR2,21.51461,,1.136312449631958e-102,4.5274606312129044e-100
1,TYROBP,21.49126,,1.8794259893966337e-102,7.436991622288473e-100
1,NUSAP1,21.47767,,2.5182272647741143e-102,9.89697576651666e-100
1,CASC5,21.423098,,8.139347065336169e-102,3.1772601216599087e-99
1,HIST1H1B,21.4143,,9.830866645777559e-102,3.811803078701389e-99
1,ANLN,21.386578,,1.7815888300956613e-101,6.861848765407776e-99
1,ASPM,21.38118,,2.0001273605553916e-101,7.652540264991167e-99
1,ARHGAP11B,21.361002,,3.081312742465309e-101,1.1711623754634757e-98
1,NCAPG,21.330286,,5.944420876028018e-101,2.2446210932729846e-98
1,CLEC4A,21.3114,,8.899347203650934e-101,3.338584324652763e-98
1,KIF11,21.307913,,9.587488811502996e-101,3.5735354264965334e-98
1,HIST1H2AJ,21.23106,,4.933737307643101e-100,1.827159009451698e-97
1,PRC1,21.224976,,5.615469520763909e-100,2.0663854816757537e-97
1,FBXO5,21.200972,,9.354440851513717e-100,3.420469058952544e-97
1,NCF2,21.183924,,1.3435945367028845e-99,4.881980325090299e-97
1,CKS1B,21.160929,,2.1887052057695393e-99,7.903004115807725e-97
1,PAPSS1,21.12345,,4.8426928752474825e-99,1.7377446924327503e-96
1,C21orf58,21.0784,,1.2555946639364338e-98,4.477745093802444e-96
1,MKI67,21.004324,,5.988004014448081e-98,2.1094204629677377e-95
1,RRM2,20.994545,,7.356498017214564e-98,2.575799757263861e-95
1,DLGAP5,20.988907,,8.282729168615212e-98,2.8826392304723293e-95
1,SH3BGRL3,20.958595,,1.5664024358585714e-97,5.4189082590932485e-95
1,HMMR,20.947437,,1.980005253368361e-97,6.808978779931567e-95
1,CKAP2L,20.944971,,2.0852725370242004e-97,7.12854735393486e-95
1,SMC2,20.917465,,3.713295426022701e-97,1.261930686162409e-94
1,BIRC5,20.901907,,5.144724209942739e-97,1.7381646302983734e-94
1,HIST1H2AL,20.845444,,1.676463665734629e-96,5.566341112671651e-94
1,TMPO,20.834476,,2.108034266115203e-96,6.95928363750135e-94
1,HIST1H2AM,20.831512,,2.242664384408076e-96,7.36167326593226e-94
1,STMN1,20.817776,,2.9873302696679304e-96,9.750679755340414e-94
1,KIF23,20.815811,,3.112329667328643e-96,1.0101607970257173e-93
1,KIF15,20.812843,,3.311099783044354e-96,1.0686713283006787e-93
1,KIF14,20.798454,,4.469810311269737e-96,1.434635283961036e-93
2,S100A9,36.75648,,9.160115887938971e-296,2.646036875969491e-291
2,S100A8,30.744915,,1.4299708804270605e-207,2.7537902558304194e-203
2,CTD-2325P2.3,29.721859,-0.7812849,4.0077416571880587e-194,5.611766741288978e-191
2,snoU13_209,29.709774,-2.644772,5.741699705103939e-194,5.611766741288978e-191
2,DOC2A,29.70926,-1.2965026,5.830203879097763e-194,5.611766741288978e-191
2,ANO7P1,29.708944,-0.8145491,5.885136401756096e-194,5.611766741288978e-191
2,HIGD1AP1,29.696035,-0.711761,8.639462264912481e-194,5.611766741288978e-191
2,E2F5,29.694662,-0.35498032,8.99911273831438e-194,5.611766741288978e-191
2,PITX1,29.68447,0.032571476,1.2183781722347053e-193,5.611766741288978e-191
2,Y_RNA_581,29.683939,,1.2377093659107176e-193,5.611766741288978e-191
2,Y_RNA_295,29.683939,,1.2377093659107176e-193,5.611766741288978e-191
2,RP11-190P13.1,29.683939,,1.2377093659107176e-193,5.611766741288978e-191
2,RN7SL187P,29.68355,,1.2521217265330323e-193,5.611766741288978e-191
2,RP11-3D4.2,29.68355,,1.2521217265330323e-193,5.611766741288978e-191
2,XXbac-BPG170G13.32,29.68355,,1.2521217265330323e-193,5.611766741288978e-191
2,AC022816.2,29.68355,,1.2521217265330323e-193,5.611766741288978e-191
2,RP11-24J23.2,29.683395,-0.799388,1.2578706383455275e-193,5.611766741288978e-191
2,MIR933,29.683306,,1.261227584376463e-193,5.611766741288978e-191
2,RPL21P131,29.68306,-1.2875794,1.2705053993973507e-193,5.611766741288978e-191
2,RP11-309L24.4,29.682137,,1.3057996992142485e-193,5.611766741288978e-191
2,AC067940.1,29.682137,,1.3057996992142485e-193,5.611766741288978e-191
2,RN7SKP55,29.682137,,1.3057996992142485e-193,5.611766741288978e-191
2,MACROD2,29.681112,,1.3462151801172027e-193,5.611766741288978e-191
2,RP11-849F2.9,29.680662,-0.32561222,1.364330200011829e-193,5.611766741288978e-191
2,NACAP2,29.680302,,1.37900885010571e-193,5.611766741288978e-191
2,CTC-303L1.1,29.680302,,1.37900885010571e-193,5.611766741288978e-191
2,PNOC,29.680302,,1.37900885010571e-193,5.611766741288978e-191
2,SUGT1P,29.679598,,1.4081373110531336e-193,5.611766741288978e-191
2,CTC-360G5.9,29.678432,-1.8535918,1.4577735443130884e-193,5.611766741288978e-191
2,RP5-849H19.2,29.677896,-2.3138998,1.4811449901145317e-193,5.611766741288978e-191
2,MAST4-IT1,29.677113,,1.516084966307802e-193,5.611766741288978e-191
2,AC138783.12,29.677113,,1.516084966307802e-193,5.611766741288978e-191
2,CRIP1_2,29.677113,,1.516084966307802e-193,5.611766741288978e-191
2,AC016700.2,29.677107,0.06678181,1.5163374760333451e-193,5.611766741288978e-191
2,RPL7AP11,29.676807,-2.3369558,1.529908168491472e-193,5.611766741288978e-191
2,RP11-415I12.3,29.676807,-2.3369558,1.529908168491472e-193,5.611766741288978e-191
2,FAM66D,29.676807,-2.3369558,1.529908168491472e-193,5.611766741288978e-191
2,RP11-1K3.1,29.676807,-2.3369558,1.529908168491472e-193,5.611766741288978e-191
2,Y_RNA_470,29.676807,-2.3369558,1.529908168491472e-193,5.611766741288978e-191
2,RP4-631H13.4,29.676807,-2.3369558,1.529908168491472e-193,5.611766741288978e-191
2,GCNT3,29.676807,-2.3369558,1.529908168491472e-193,5.611766741288978e-191
2,RP11-713M15.2,29.676807,-2.3369558,1.529908168491472e-193,5.611766741288978e-191
2,CACNA1C-AS2,29.676807,-2.3369558,1.529908168491472e-193,5.611766741288978e-191
2,RP11-389O22.4,29.676807,-2.3369558,1.529908168491472e-193,5.611766741288978e-191
2,RPL21P127,29.676807,-2.3369558,1.529908168491472e-193,5.611766741288978e-191
2,RP11-1094M14.5,29.676807,-2.3369558,1.529908168491472e-193,5.611766741288978e-191
2,AC073957.15,29.676807,-2.3369558,1.529908168491472e-193,5.611766741288978e-191
2,AC068137.13,29.676807,-2.3369558,1.529908168491472e-193,5.611766741288978e-191
2,PAICSP6,29.676807,-2.3369558,1.529908168491472e-193,5.611766741288978e-191
2,RP11-445O3.3,29.676807,-2.3369558,1.529908168491472e-193,5.611766741288978e-191
2,FTH1P22,29.676807,-2.3369558,1.529908168491472e-193,5.611766741288978e-191
2,TRGV4,29.676807,-2.3369558,1.529908168491472e-193,5.611766741288978e-191
2,ZNF365,29.676807,-2.3369558,1.529908168491472e-193,5.611766741288978e-191
2,RP11-142L1.1,29.676565,,1.5409033395017962e-193,5.611766741288978e-191
2,MARS2,29.675943,-3.516891,1.5696524581702342e-193,5.611766741288978e-191
2,RP11-498D10.8,29.674583,-1.0350025,1.6343377235692516e-193,5.611766741288978e-191
2,AL512625.1,29.67429,-0.45755532,1.648688661898494e-193,5.611766741288978e-191
2,OSGEPL1-AS1,29.673569,-1.4696971,1.684347614081459e-193,5.611766741288978e-191
2,RP11-49O14.3,29.673508,-1.8041747,1.687435693713777e-193,5.611766741288978e-191
2,SGCB,29.673288,0.09439459,1.6984299796979202e-193,5.611766741288978e-191
2,RP11-138H8.7,29.672977,-0.39297938,1.714199168206037e-193,5.611766741288978e-191
2,OR2A7,29.672646,-2.730969,1.7312673435798245e-193,5.611766741288978e-191
2,GATSL2,29.672176,-0.4771139,1.755506812202727e-193,5.611766741288978e-191
2,AC005682.8,29.67184,,1.773133428259226e-193,5.611766741288978e-191
2,CAMK4,29.671745,-0.9448298,1.7781596995423636e-193,5.611766741288978e-191
2,IRS1,29.671375,-0.24238062,1.7978087068193636e-193,5.611766741288978e-191
2,RP11-392E22.5,29.670773,-1.8672005,1.830278148347232e-193,5.611766741288978e-191
2,RP11-134K13.4,29.670637,-1.1945287,1.8376067523359413e-193,5.611766741288978e-191
2,DDX11-AS1,29.670176,-5.4596305,1.8630231093043963e-193,5.611766741288978e-191
2,HMGN2P4,29.670073,,1.8687705620276877e-193,5.611766741288978e-191
2,LMO3,29.670015,,1.8718846638825836e-193,5.611766741288978e-191
2,DNAH3,29.670015,,1.8718846638825836e-193,5.611766741288978e-191
2,AC069277.2,29.670015,,1.8718846638825836e-193,5.611766741288978e-191
2,AC138623.1,29.669401,-3.229724,1.9063250883432215e-193,5.611766741288978e-191
2,SOCS5P4,29.669153,-0.65781754,1.9205016483682748e-193,5.611766741288978e-191
2,RPS26P43,29.668839,-4.1062613,1.9384915511989355e-193,5.611766741288978e-191
2,RP11-159A18.1,29.668276,,1.971200151465113e-193,5.611766741288978e-191
2,RP11-460I13.6,29.668276,,1.971200151465113e-193,5.611766741288978e-191
2,MRM1,29.667828,,1.997547317987018e-193,5.611766741288978e-191
2,RP11-567I13.1,29.667458,,2.0197017387554907e-193,5.611766741288978e-191
2,RAB9B,29.667458,,2.0197017387554907e-193,5.611766741288978e-191
2,CSF3,29.667341,,2.0266066648081986e-193,5.611766741288978e-191
2,RP11-552F3.10,29.667118,,2.040147656074933e-193,5.611766741288978e-191
2,RP11-173D9.5,29.667118,,2.040147656074933e-193,5.611766741288978e-191
2,FGFR3,29.667118,,2.040147656074933e-193,5.611766741288978e-191
2,LINC00970,29.667118,,2.040147656074933e-193,5.611766741288978e-191
2,RP11-574K11.28,29.667114,-1.2123533,2.0403174891034134e-193,5.611766741288978e-191
2,STX19,29.667107,-0.4063113,2.040827072924007e-193,5.611766741288978e-191
2,ENPP5,29.666857,-2.7747731,2.0560026933339326e-193,5.611766741288978e-191
2,RP11-18H21.1,29.666857,-2.7747731,2.0560026933339326e-193,5.611766741288978e-191
2,TLE2,29.666857,-2.7747731,2.0560026933339326e-193,5.611766741288978e-191
2,PDCD1,29.666857,-2.7747731,2.0560026933339326e-193,5.611766741288978e-191
2,RP5-916O11.1,29.666857,-2.7747731,2.0560026933339326e-193,5.611766741288978e-191
2,RP11-214O14.1,29.666857,-2.7747731,2.0560026933339326e-193,5.611766741288978e-191
2,RPL34P26,29.666857,-2.7747731,2.0560026933339326e-193,5.611766741288978e-191
2,HOXB2,29.666857,-2.7747731,2.0560026933339326e-193,5.611766741288978e-191
2,TSHR,29.666857,-2.7747731,2.0560026933339326e-193,5.611766741288978e-191
2,RPS2P2,29.666857,-2.7747731,2.0560026933339326e-193,5.611766741288978e-191
2,CAPN5,29.666857,-2.7747731,2.0560026933339326e-193,5.611766741288978e-191
2,RNU6-834P,29.666857,-2.7747731,2.0560026933339326e-193,5.611766741288978e-191
3,SRGN,24.379318,,2.834553517461044e-131,2.729344339404615e-127
3,ZFP36L1,24.250376,,6.5520564340164364e-130,5.407599376606165e-126
3,FOS,24.118843,,1.5858173304678158e-128,1.1452178079139641e-124
3,BTG1,22.709467,,3.611950323439006e-114,1.738943383633681e-110
3,RGS2,22.642532,,1.6527387354620215e-113,7.344898074142105e-110
3,SMCHD1,22.125713,,1.7879071570171572e-108,6.455797511397014e-105
3,B2M,21.652767,,5.723937919970995e-104,1.9452297967675544e-100
3,DUSP1,21.206253,,8.361289607194704e-100,2.5424041288234717e-96
3,EVI2B,20.936579,,2.486918653759245e-97,6.530761426528766e-94
3,HLA-C,20.610777,,2.1967443625291233e-94,4.8812504637075017e-91
3,FCGR3B,20.542322,,9.014752168707266e-94,1.795894058768017e-90
3,CXCR2,20.087708,,9.452710396846024e-90,1.5603183935913869e-86
3,TXNIP,19.884434,,5.550523150394454e-88,8.666766863992941e-85
3,CTSS,19.775372,,4.85246239551685e-87,7.188238717338333e-84
3,MME,19.548561,,4.2431626852930187e-85,5.979030190669112e-82
3,ITM2B,18.365995,,2.459013783451419e-75,2.4923614616024357e-72
3,HLA-A,18.030052,,1.1318522047097883e-72,1.0217265222296656e-69
3,BTG2,17.811554,,5.749069210824609e-71,4.884426110543678e-68
3,JUND,17.758598,,1.4787919697642043e-70,1.186586784294269e-67
